ID,Company name,City,ZIP,County,Est. Impact,LWDA,Date
GA201900676,Bloomin Brands (Outback 1125),Canton,30114,Cherokee,47,7,03/15/2020
GA201900677,Bloomin Brands (Outback 1126),Roswell,30075,Fulton,43,3,03/15/2020
GA201900679,Bloomin Brands (Outback 1128),Dalton,30720,Whitfield,75,1,03/15/2020
GA201900680,Bloomin Brands (Outback 1129),Cumming,30041,Forsyth,91,2,03/15/2020
GA201900681,Bloomin Brands (Outback 1130),Columbus,31904,Muscogee,63,14,03/15/2020
GA201900682,Bloomin Brands (Outback 1131),Augusta,30909,Richmond,94,12,03/15/2020
GA201900683,Bloomin Brands (Outback 1132),Macon,31210,Bibb,73,10,03/15/2020
GA201900684,Bloomin Brands (Outback 1133),Savannah,31419,Chatham,70,20,03/15/2020
GA201900685,Bloomin Brands (Outback 1134),Albany,31707,Dougherty,71,17,03/15/2020
GA201900686,Bloomin Brands (Outback 1135),Valdosta,31601,Lowndes,65,18,03/15/2020
GA201900687,Bloomin Brands (Outback 1137),Warner Robins,31093,Houston,74,11,03/15/2020
GA201900688,Bloomin Brands (Outback 1170),Stockbridge,30281,Henry,96,7,03/15/2020
GA201900689,Bloomin Brands (Outback 1171),Rome,30161,Floyd,82,1,03/15/2020
